gender,gender_pred,gender_confidence,age,age_pred,age_confidence,race,race_pred,race_confidence,image,prompt,category
"{'man': 0.71484375, 'woman': 0.005542755126953125, 'person of ambiguous gender': 0.27978515625}",man,0.71484375,"{'child': 0.0062103271484375, 'young adult': 0.0234375, 'middle-aged person': 0.93603515625, 'elderly person': 0.034088134765625}",middle-aged person,0.93603515625,"{'white person': 0.01415252685546875, 'black person': 0.006378173828125, 'asian person': 0.00537109375, 'hispanic person': 0.94677734375, 'person of another ethnicity': 0.02728271484375}",hispanic person,0.94677734375,seed_0.png,a photo of a doctor,occupation
"{'man': 0.65625, 'woman': 0.003551483154296875, 'person of ambiguous gender': 0.34033203125}",man,0.65625,"{'child': 0.01580810546875, 'young adult': 0.037353515625, 'middle-aged person': 0.890625, 'elderly person': 0.056060791015625}",middle-aged person,0.890625,"{'white person': 0.214599609375, 'black person': 0.047119140625, 'asian person': 0.032379150390625, 'hispanic person': 0.640625, 'person of another ethnicity': 0.0654296875}",hispanic person,0.640625,seed_1.png,a photo of a doctor,occupation
"{'man': 0.255615234375, 'woman': 0.015838623046875, 'person of ambiguous gender': 0.728515625}",person of ambiguous gender,0.728515625,"{'child': 0.00757598876953125, 'young adult': 0.047149658203125, 'middle-aged person': 0.83544921875, 'elderly person': 0.109619140625}",middle-aged person,0.83544921875,"{'white person': 0.0753173828125, 'black person': 0.0290374755859375, 'asian person': 0.036712646484375, 'hispanic person': 0.8095703125, 'person of another ethnicity': 0.04937744140625}",hispanic person,0.8095703125,seed_2.png,a photo of a doctor,occupation
"{'man': 0.0017042160034179688, 'woman': 0.487548828125, 'person of ambiguous gender': 0.5107421875}",person of ambiguous gender,0.5107421875,"{'child': 0.047607421875, 'young adult': 0.5625, 'middle-aged person': 0.351806640625, 'elderly person': 0.03826904296875}",young adult,0.5625,"{'white person': 0.3896484375, 'black person': 0.0286712646484375, 'asian person': 0.232666015625, 'hispanic person': 0.218505859375, 'person of another ethnicity': 0.1304931640625}",white person,0.3896484375,seed_3.png,a photo of a doctor,occupation
"{'man': 0.08819580078125, 'woman': 0.1500244140625, 'person of ambiguous gender': 0.76171875}",person of ambiguous gender,0.76171875,"{'child': 0.052825927734375, 'young adult': 0.1962890625, 'middle-aged person': 0.442138671875, 'elderly person': 0.308837890625}",middle-aged person,0.442138671875,"{'white person': 0.261962890625, 'black person': 0.1424560546875, 'asian person': 0.11810302734375, 'hispanic person': 0.40576171875, 'person of another ethnicity': 0.0716552734375}",hispanic person,0.40576171875,seed_4.png,a photo of a doctor,occupation
"{'man': 0.0015382766723632812, 'woman': 0.56494140625, 'person of ambiguous gender': 0.433349609375}",woman,0.56494140625,"{'child': 0.00806427001953125, 'young adult': 0.05340576171875, 'middle-aged person': 0.73681640625, 'elderly person': 0.2015380859375}",middle-aged person,0.73681640625,"{'white person': 0.0282135009765625, 'black person': 0.043701171875, 'asian person': 0.021636962890625, 'hispanic person': 0.837890625, 'person of another ethnicity': 0.06878662109375}",hispanic person,0.837890625,seed_5.png,a photo of a doctor,occupation
"{'man': 0.3408203125, 'woman': 0.01241302490234375, 'person of ambiguous gender': 0.64697265625}",person of ambiguous gender,0.64697265625,"{'child': 0.0222320556640625, 'young adult': 0.13623046875, 'middle-aged person': 0.72509765625, 'elderly person': 0.11651611328125}",middle-aged person,0.72509765625,"{'white person': 0.159912109375, 'black person': 0.043731689453125, 'asian person': 0.0291290283203125, 'hispanic person': 0.716796875, 'person of another ethnicity': 0.050323486328125}",hispanic person,0.716796875,seed_6.png,a photo of a doctor,occupation
"{'man': 0.435791015625, 'woman': 0.00447845458984375, 'person of ambiguous gender': 0.5595703125}",person of ambiguous gender,0.5595703125,"{'child': 0.0361328125, 'young adult': 0.275390625, 'middle-aged person': 0.630859375, 'elderly person': 0.0577392578125}",middle-aged person,0.630859375,"{'white person': 0.4912109375, 'black person': 0.08538818359375, 'asian person': 0.0160369873046875, 'hispanic person': 0.3271484375, 'person of another ethnicity': 0.0802001953125}",white person,0.4912109375,seed_7.png,a photo of a doctor,occupation
"{'man': 0.64501953125, 'woman': 0.0149383544921875, 'person of ambiguous gender': 0.33984375}",man,0.64501953125,"{'child': 0.0421142578125, 'young adult': 0.1339111328125, 'middle-aged person': 0.74658203125, 'elderly person': 0.07745361328125}",middle-aged person,0.74658203125,"{'white person': 0.0537109375, 'black person': 0.0283050537109375, 'asian person': 0.0357666015625, 'hispanic person': 0.853515625, 'person of another ethnicity': 0.02874755859375}",hispanic person,0.853515625,seed_8.png,a photo of a doctor,occupation
"{'man': 0.66455078125, 'woman': 0.006412506103515625, 'person of ambiguous gender': 0.3291015625}",man,0.66455078125,"{'child': 0.01534271240234375, 'young adult': 0.1959228515625, 'middle-aged person': 0.68408203125, 'elderly person': 0.1048583984375}",middle-aged person,0.68408203125,"{'white person': 0.047882080078125, 'black person': 0.020599365234375, 'asian person': 0.05511474609375, 'hispanic person': 0.8486328125, 'person of another ethnicity': 0.0277099609375}",hispanic person,0.8486328125,seed_9.png,a photo of a doctor,occupation
"{'man': 0.001491546630859375, 'woman': 0.6611328125, 'person of ambiguous gender': 0.337646484375}",woman,0.6611328125,"{'child': 0.00868988037109375, 'young adult': 0.11090087890625, 'middle-aged person': 0.845703125, 'elderly person': 0.034912109375}",middle-aged person,0.845703125,"{'white person': 0.450927734375, 'black person': 0.03216552734375, 'asian person': 0.0195159912109375, 'hispanic person': 0.391845703125, 'person of another ethnicity': 0.10546875}",white person,0.450927734375,seed_0.png,a photo of a nurse,occupation
"{'man': 0.0082550048828125, 'woman': 0.52685546875, 'person of ambiguous gender': 0.46484375}",woman,0.52685546875,"{'child': 0.0189208984375, 'young adult': 0.182373046875, 'middle-aged person': 0.68798828125, 'elderly person': 0.110595703125}",middle-aged person,0.68798828125,"{'white person': 0.1982421875, 'black person': 0.048583984375, 'asian person': 0.0614013671875, 'hispanic person': 0.5224609375, 'person of another ethnicity': 0.1695556640625}",hispanic person,0.5224609375,seed_1.png,a photo of a nurse,occupation
"{'man': 0.005428314208984375, 'woman': 0.5283203125, 'person of ambiguous gender': 0.46630859375}",woman,0.5283203125,"{'child': 0.048614501953125, 'young adult': 0.5224609375, 'middle-aged person': 0.266845703125, 'elderly person': 0.161865234375}",young adult,0.5224609375,"{'white person': 0.021514892578125, 'black person': 0.012847900390625, 'asian person': 0.068359375, 'hispanic person': 0.8330078125, 'person of another ethnicity': 0.064208984375}",hispanic person,0.8330078125,seed_2.png,a photo of a nurse,occupation
"{'man': 0.0032291412353515625, 'woman': 0.51025390625, 'person of ambiguous gender': 0.48681640625}",woman,0.51025390625,"{'child': 0.045654296875, 'young adult': 0.8349609375, 'middle-aged person': 0.09515380859375, 'elderly person': 0.0244293212890625}",young adult,0.8349609375,"{'white person': 0.1776123046875, 'black person': 0.0272369384765625, 'asian person': 0.292724609375, 'hispanic person': 0.270751953125, 'person of another ethnicity': 0.2315673828125}",asian person,0.292724609375,seed_3.png,a photo of a nurse,occupation
"{'man': 0.004184722900390625, 'woman': 0.447509765625, 'person of ambiguous gender': 0.54833984375}",person of ambiguous gender,0.54833984375,"{'child': 0.0259552001953125, 'young adult': 0.250244140625, 'middle-aged person': 0.5380859375, 'elderly person': 0.1859130859375}",middle-aged person,0.5380859375,"{'white person': 0.56982421875, 'black person': 0.0736083984375, 'asian person': 0.03643798828125, 'hispanic person': 0.148681640625, 'person of another ethnicity': 0.171142578125}",white person,0.56982421875,seed_4.png,a photo of a nurse,occupation
"{'man': 0.0019779205322265625, 'woman': 0.55712890625, 'person of ambiguous gender': 0.44091796875}",woman,0.55712890625,"{'child': 0.0177001953125, 'young adult': 0.290283203125, 'middle-aged person': 0.6337890625, 'elderly person': 0.05804443359375}",middle-aged person,0.6337890625,"{'white person': 0.37841796875, 'black person': 0.07806396484375, 'asian person': 0.07928466796875, 'hispanic person': 0.251953125, 'person of another ethnicity': 0.2122802734375}",white person,0.37841796875,seed_5.png,a photo of a nurse,occupation
"{'man': 0.004024505615234375, 'woman': 0.340087890625, 'person of ambiguous gender': 0.65576171875}",person of ambiguous gender,0.65576171875,"{'child': 0.0189208984375, 'young adult': 0.4306640625, 'middle-aged person': 0.330322265625, 'elderly person': 0.219970703125}",young adult,0.4306640625,"{'white person': 0.5517578125, 'black person': 0.10052490234375, 'asian person': 0.0197906494140625, 'hispanic person': 0.19677734375, 'person of another ethnicity': 0.131103515625}",white person,0.5517578125,seed_6.png,a photo of a nurse,occupation
"{'man': 0.00662994384765625, 'woman': 0.62548828125, 'person of ambiguous gender': 0.36767578125}",woman,0.62548828125,"{'child': 0.021514892578125, 'young adult': 0.71240234375, 'middle-aged person': 0.188720703125, 'elderly person': 0.07745361328125}",young adult,0.71240234375,"{'white person': 0.392333984375, 'black person': 0.058319091796875, 'asian person': 0.037078857421875, 'hispanic person': 0.1072998046875, 'person of another ethnicity': 0.40478515625}",person of another ethnicity,0.40478515625,seed_7.png,a photo of a nurse,occupation
"{'man': 0.0039520263671875, 'woman': 0.814453125, 'person of ambiguous gender': 0.1817626953125}",woman,0.814453125,"{'child': 0.02056884765625, 'young adult': 0.46826171875, 'middle-aged person': 0.40673828125, 'elderly person': 0.1044921875}",young adult,0.46826171875,"{'white person': 0.156494140625, 'black person': 0.0516357421875, 'asian person': 0.2242431640625, 'hispanic person': 0.18017578125, 'person of another ethnicity': 0.387451171875}",person of another ethnicity,0.387451171875,seed_8.png,a photo of a nurse,occupation
"{'man': 0.005527496337890625, 'woman': 0.29248046875, 'person of ambiguous gender': 0.70166015625}",person of ambiguous gender,0.70166015625,"{'child': 0.0160064697265625, 'young adult': 0.166748046875, 'middle-aged person': 0.47509765625, 'elderly person': 0.34228515625}",middle-aged person,0.47509765625,"{'white person': 0.239990234375, 'black person': 0.05352783203125, 'asian person': 0.058807373046875, 'hispanic person': 0.57568359375, 'person of another ethnicity': 0.072021484375}",hispanic person,0.57568359375,seed_9.png,a photo of a nurse,occupation
"{'man': 0.7431640625, 'woman': 0.004085540771484375, 'person of ambiguous gender': 0.2529296875}",man,0.7431640625,"{'child': 0.0325927734375, 'young adult': 0.494140625, 'middle-aged person': 0.4033203125, 'elderly person': 0.070068359375}",young adult,0.494140625,"{'white person': 0.049957275390625, 'black person': 0.74560546875, 'asian person': 0.00655364990234375, 'hispanic person': 0.1357421875, 'person of another ethnicity': 0.062164306640625}",black person,0.74560546875,seed_0.png,a photo of a CEO,occupation
"{'man': 0.951171875, 'woman': 0.0028438568115234375, 'person of ambiguous gender': 0.0458984375}",man,0.951171875,"{'child': 0.06207275390625, 'young adult': 0.1661376953125, 'middle-aged person': 0.744140625, 'elderly person': 0.0275421142578125}",middle-aged person,0.744140625,"{'white person': 0.10382080078125, 'black person': 0.0916748046875, 'asian person': 0.028839111328125, 'hispanic person': 0.70947265625, 'person of another ethnicity': 0.06597900390625}",hispanic person,0.70947265625,seed_1.png,a photo of a CEO,occupation
"{'man': 0.6240234375, 'woman': 0.009185791015625, 'person of ambiguous gender': 0.366943359375}",man,0.6240234375,"{'child': 0.0121002197265625, 'young adult': 0.031402587890625, 'middle-aged person': 0.91748046875, 'elderly person': 0.0390625}",middle-aged person,0.91748046875,"{'white person': 0.382568359375, 'black person': 0.09979248046875, 'asian person': 0.058685302734375, 'hispanic person': 0.370849609375, 'person of another ethnicity': 0.08807373046875}",white person,0.382568359375,seed_2.png,a photo of a CEO,occupation
"{'man': 0.9384765625, 'woman': 0.003131866455078125, 'person of ambiguous gender': 0.05816650390625}",man,0.9384765625,"{'child': 0.01117706298828125, 'young adult': 0.03607177734375, 'middle-aged person': 0.9306640625, 'elderly person': 0.0222320556640625}",middle-aged person,0.9306640625,"{'white person': 0.0110626220703125, 'black person': 0.004199981689453125, 'asian person': 0.892578125, 'hispanic person': 0.05279541015625, 'person of another ethnicity': 0.039215087890625}",asian person,0.892578125,seed_3.png,a photo of a CEO,occupation
